root;WindowSize;CompressionLevel;performance;energy;revision
1;10;0;1.662000;83.800000;0.3.0
1;11;0;1.526000;136.200000;0.3.0
1;12;0;1.528000;132.600000;0.3.0
1;13;0;1.514000;142.600000;0.3.0
1;14;0;1.472000;149.200000;0.3.0
1;15;0;1.534000;147.800000;0.3.0
1;16;0;1.590000;162.400000;0.3.0
1;17;0;1.606000;152.000000;0.3.0
1;18;0;1.628000;139.800000;0.3.0
1;19;0;1.614000;153.400000;0.3.0
1;20;0;1.630000;131.200000;0.3.0
1;21;0;1.604000;142.800000;0.3.0
1;22;0;1.596000;151.200000;0.3.0
1;23;0;1.556000;132.800000;0.3.0
1;24;0;1.574000;143.000000;0.3.0
1;10;1;1.666000;149.800000;0.3.0
1;11;1;1.526000;154.600000;0.3.0
1;12;1;1.542000;142.600000;0.3.0
1;13;1;1.514000;139.000000;0.3.0
1;14;1;1.460000;150.000000;0.3.0
1;15;1;1.520000;148.600000;0.3.0
1;16;1;1.598000;136.800000;0.3.0
1;17;1;1.612000;152.200000;0.3.0
1;18;1;1.630000;139.000000;0.3.0
1;19;1;1.604000;151.400000;0.3.0
1;20;1;1.636000;162.000000;0.3.0
1;21;1;1.598000;140.200000;0.3.0
1;22;1;1.586000;162.600000;0.3.0
1;23;1;1.572000;148.400000;0.3.0
1;24;1;1.570000;136.600000;0.3.0
1;10;2;2.146000;188.600000;0.3.0
1;11;2;1.998000;183.200000;0.3.0
1;12;2;1.988000;131.600000;0.3.0
1;13;2;1.942000;149.800000;0.3.0
1;14;2;1.900000;165.600000;0.3.0
1;15;2;1.972000;154.000000;0.3.0
1;16;2;2.026000;184.800000;0.3.0
1;17;2;2.102000;199.600000;0.3.0
1;18;2;2.094000;186.200000;0.3.0
1;19;2;2.100000;190.200000;0.3.0
1;20;2;2.088000;176.400000;0.3.0
1;21;2;2.060000;197.600000;0.3.0
1;22;2;2.050000;205.400000;0.3.0
1;23;2;2.032000;195.200000;0.3.0
1;24;2;2.040000;168.000000;0.3.0
1;10;3;2.616000;217.400000;0.3.0
1;11;3;2.476000;188.600000;0.3.0
1;12;3;2.426000;189.400000;0.3.0
1;13;3;2.370000;191.600000;0.3.0
1;14;3;2.302000;173.800000;0.3.0
1;15;3;2.392000;204.200000;0.3.0
1;16;3;2.508000;171.800000;0.3.0
1;17;3;2.564000;188.200000;0.3.0
1;18;3;2.562000;174.600000;0.3.0
1;19;3;2.552000;201.600000;0.3.0
1;20;3;2.546000;163.000000;0.3.0
1;21;3;2.512000;174.200000;0.3.0
1;22;3;2.500000;201.600000;0.3.0
1;23;3;2.478000;187.600000;0.3.0
1;24;3;2.478000;164.600000;0.3.0
1;10;4;3.020000;207.400000;0.3.0
1;11;4;3.040000;210.600000;0.3.0
1;12;4;3.004000;225.600000;0.3.0
1;13;4;2.972000;231.000000;0.3.0
1;14;4;2.894000;236.800000;0.3.0
1;15;4;2.834000;203.600000;0.3.0
1;16;4;2.770000;177.400000;0.3.0
1;17;4;2.848000;205.800000;0.3.0
1;18;4;2.824000;203.400000;0.3.0
1;19;4;2.800000;199.800000;0.3.0
1;20;4;2.808000;222.400000;0.3.0
1;21;4;2.768000;187.800000;0.3.0
1;22;4;2.748000;199.400000;0.3.0
1;23;4;2.726000;194.400000;0.3.0
1;24;4;2.708000;210.400000;0.3.0
1;10;5;3.306000;252.000000;0.3.0
1;11;5;3.490000;244.200000;0.3.0
1;12;5;3.746000;240.000000;0.3.0
1;13;5;4.128000;286.200000;0.3.0
1;14;5;4.678000;293.200000;0.3.0
1;15;5;5.072000;303.600000;0.3.0
1;16;5;5.392000;337.200000;0.3.0
1;17;5;5.886000;377.800000;0.3.0
1;18;5;6.714000;368.400000;0.3.0
1;19;5;7.372000;397.000000;0.3.0
1;20;5;7.450000;432.400000;0.3.0
1;21;5;7.272000;393.400000;0.3.0
1;22;5;7.198000;375.800000;0.3.0
1;23;5;7.178000;417.800000;0.3.0
1;24;5;7.154000;403.200000;0.3.0
1;10;6;3.386000;224.200000;0.3.0
1;11;6;3.570000;251.000000;0.3.0
1;12;6;3.846000;241.600000;0.3.0
1;13;6;4.300000;275.600000;0.3.0
1;14;6;4.874000;306.800000;0.3.0
1;15;6;5.306000;309.600000;0.3.0
1;16;6;5.770000;306.600000;0.3.0
1;17;6;6.340000;377.600000;0.3.0
1;18;6;7.510000;406.000000;0.3.0
1;19;6;9.336000;489.000000;0.3.0
1;20;6;10.658000;554.000000;0.3.0
1;21;6;10.460000;525.800000;0.3.0
1;22;6;10.266000;560.200000;0.3.0
1;23;6;10.220000;534.600000;0.3.0
1;24;6;10.176000;532.200000;0.3.0
1;10;7;4.874000;299.400000;0.3.0
1;11;7;5.078000;311.600000;0.3.0
1;12;7;5.266000;310.800000;0.3.0
