workload;root;LZP;ROLZX;RANK;TEXT;skip;TPAQ;BWTS;LZ;blocksize_1MB;MTFT;blocksize_1KB;entropy;SRT;X86;checksum;FPAQ;RLT;BWT;blocksize_1GB;jobs_8;jobs_1;jobs_4;TPAQX;CM;ZRLT;Range;ROLZ;ANS0;ANS1;Huffman;energy;performance
v5.12.tar;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3364.00271349;66.722
v5.12.tar;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;652.01322298;18.09
v5.12.tar;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;734.159862852;33.414
v5.12.tar;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;3684.926010276;68.982
v5.12.tar;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2246.34894862;56.166
v5.12.tar;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4880.364875102;102.348
v5.12.tar;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3983.143546646;72.26
v5.12.tar;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;5688.445563596;99.516
v5.12.tar;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;36049.167946188;1271.85
v5.12.tar;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7395.571863112;363.946
v5.12.tar;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4846.312616334;90.332
v5.12.tar;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1390.440367012;69.09
v5.12.tar;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;136237.541728874;2716.862
v5.12.tar;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;567.457810382;9.358
v5.12.tar;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;296.618492698;3.776
v5.12.tar;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1044.396532572;19.358
v5.12.tar;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4788.095387554;97.168
v5.12.tar;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;97289.7665942601;2013.986
v5.12.tar;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7044.276997354;375.81
v5.12.tar;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;57128.084673806;1930.714
v5.12.tar;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;10403.140684778;332.608
v5.12.tar;1;1;1;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;2124.810940148;44.814
v5.12.tar;1;1;1;1;0;1;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;2928.946115298;49.356
v5.12.tar;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;82062.839967544;1667.92
v5.12.tar;1;1;1;0;1;1;0;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;42361.474613526;868.882
v5.12.tar;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1843.148873516;32.47
v5.12.tar;1;0;1;1;0;1;1;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;3680.835837744;72.576
