root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLzma;unlimitedWindowSize;disableCompressibilityTesting;level;processorCount;maxRam;energy;performance
1;0;0;0;0;0;0;0;0;0;4;1;18;0.045383;0.020778
1;0;0;0;0;0;0;0;0;0;5;1;18;0.023511;0.015944
1;0;0;0;0;0;0;0;0;0;6;1;18;0.033784;0.013567
1;0;0;0;0;0;0;0;0;0;7;1;18;0.045138;0.018478
1;0;0;0;0;0;0;0;0;0;8;1;18;0.015860;0.014071
1;0;0;0;0;0;0;0;0;0;9;1;18;0.033722;0.014138
1;0;0;0;0;0;0;0;0;0;1;2;18;0.039426;0.016961
1;0;0;0;0;0;0;0;0;0;2;2;18;0.020644;0.023992
1;0;0;0;0;0;0;0;0;0;3;2;18;0.034552;0.007948
1;0;0;0;0;0;0;0;0;0;4;2;18;0.048431;0.023003
1;0;0;0;0;0;0;0;0;0;5;2;18;0.033847;0.015891
1;0;0;0;0;0;0;0;0;0;6;2;18;0.026416;0.025564
1;0;0;0;0;0;0;0;0;0;7;2;18;0.032068;0.005982
1;0;0;0;0;0;0;0;0;0;8;2;18;0.053909;0.045539
1;0;0;0;0;0;0;0;0;0;9;2;18;0.031506;0.021008
1;0;0;0;0;0;0;0;0;0;1;3;18;0.025034;0.020807
1;0;0;0;0;0;0;0;0;0;2;3;18;0.045948;0.022004
1;0;0;0;0;0;0;0;0;0;3;3;18;0.015983;0.020551
1;0;0;0;0;0;0;0;0;0;4;3;18;0.061884;0.018063
1;0;0;0;0;0;0;0;0;0;5;3;18;0.023983;0.020240
1;0;0;0;0;0;0;0;0;0;6;3;18;0.027729;0.017732
1;0;0;0;0;0;0;0;0;0;7;3;18;0.037196;0.016897
1;0;0;0;0;0;0;0;0;0;8;3;18;0.028834;0.012715
1;0;0;0;0;0;0;0;0;0;9;3;18;0.049838;0.010721
1;0;0;0;0;0;0;0;0;0;1;4;18;0.041659;0.021031
1;0;0;0;0;0;0;0;0;0;2;4;18;0.022410;0.007012
1;0;0;0;0;0;0;0;0;0;3;4;18;0.042976;0.030364
1;0;0;0;0;0;0;0;0;0;4;4;18;0.037091;0.014514
1;0;0;0;0;0;0;0;0;0;5;4;18;0.029167;0.017012
1;0;0;0;0;0;0;0;0;0;6;4;18;0.042253;0.016306
1;0;0;0;0;0;0;0;0;0;7;4;18;0.027240;0.015271
1;0;0;0;0;0;0;0;0;0;8;4;18;0.068455;0.024145
1;0;0;0;0;0;0;0;0;0;9;4;18;0.064924;0.013229
1;0;0;0;0;0;0;0;1;0;1;1;2;0.074314;0.029009
1;0;0;0;0;0;0;0;1;0;2;1;2;0.014507;0.013905
1;0;0;0;0;0;0;0;1;0;3;1;2;0.038363;0.015145
1;0;0;0;0;0;0;0;1;0;4;1;2;0.072579;0.013991
1;0;0;0;0;0;0;0;1;0;5;1;2;0.035985;0.023197
1;0;0;0;0;0;0;0;1;0;6;1;2;0.041342;0.022738
1;0;0;0;0;0;0;0;1;0;7;1;2;0.025258;0.011227
1;0;0;0;0;0;0;0;1;0;8;1;2;0.054255;0.026645
1;0;0;0;0;0;0;0;1;0;9;1;2;0.050698;0.005989
1;0;0;0;0;0;0;0;1;0;1;2;2;0.043949;0.015507
1;0;0;0;0;0;0;0;1;0;2;2;2;0.041386;0.021185
1;0;0;0;0;0;0;0;1;0;3;2;2;0.029511;0.013209
1;0;0;0;0;0;0;0;1;0;4;2;2;0.081579;0.048247
1;0;0;0;0;0;0;0;1;0;5;2;2;0.051450;0.013357
1;0;0;0;0;0;0;0;1;0;6;2;2;0.020152;0.029276
1;0;0;0;0;0;0;0;1;0;7;2;2;0.040886;0.016834
1;0;0;0;0;0;0;0;1;0;8;2;2;0.026940;0.016851
1;0;0;0;0;0;0;0;1;0;9;2;2;0.041027;0.019762
1;0;0;0;0;0;0;0;1;0;1;3;2;0.025566;0.008662
1;0;0;0;0;0;0;0;1;0;2;3;2;0.008569;0.016048
1;0;0;0;0;0;0;0;1;0;3;3;2;0.038210;0.029979
1;0;0;0;0;0;0;0;1;0;4;3;2;0.041393;0.008326
1;0;0;0;0;0;0;0;1;0;5;3;2;0.040906;0.026649
