root,twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,threads,threads_1,threads_2,threads_4,threads_8,arnrMaxFrames,arnrMaxFrames_0,arnrMaxFrames_5,arnrMaxFrames_15,arnrStrength,arnrStrength_0,arnrStrength_3,arnrStrength_6,workload,median-time,mean-time,std-time,mean-compression-ratio,std-compression-ratio,id
1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,32.46,32.498,0.081056,0.004722,0.0,156
1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,37.57,37.522,0.122963,0.004729,0.0,80
1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,akiyo_cif.y4m,46.89,46.858,0.086429,0.004115,0.0,94
1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,akiyo_cif.y4m,46.13,46.142,0.078549,0.004004,0.0,181
1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,akiyo_cif.y4m,30.88,30.924,0.108766,0.004837,0.0,195
1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,16.69,16.696,0.02881,0.004193,0.0,43
1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.21,17.204,0.043932,0.004547,0.0,57
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,akiyo_cif.y4m,23.44,23.426,0.071274,0.004513,0.0,5
1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.06,17.078,0.026833,0.0042,0.0,56
1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,akiyo_cif.y4m,50.94,50.96,0.134164,0.004495,0.0,4
1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.21,17.216,0.035777,0.004547,0.0,42
1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,34.69,34.686,0.047223,0.004574,0.0,194
1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,50.99,51.036,0.186762,0.004537,0.0,180
1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,48.72,48.76,0.110454,0.004208,0.0,95
1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,37.44,37.454,0.070922,0.004729,0.0,81
1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,32.53,32.528,0.08438,0.004722,0.0,157
1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,akiyo_cif.y4m,26.02,26.022,0.095499,0.004944,0.0,143
1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,akiyo_cif.y4m,30.89,30.868,0.075631,0.004806,0.0,209
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,akiyo_cif.y4m,30.87,30.864,0.082644,0.004837,0.0,221
1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,akiyo_cif.y4m,51.33,51.392,0.096281,0.004371,0.0,235
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,akiyo_cif.y4m,30.91,30.89,0.057879,0.004837,0.0,219
1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,akiyo_cif.y4m,51.32,51.3,0.134907,0.004494,0.0,231
1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,51.41,51.364,0.12818,0.004494,0.0,225
1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,akiyo_cif.y4m,37.47,37.454,0.068775,0.004729,0.0,85
1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,akiyo_cif.y4m,48.28,48.216,0.152905,0.004148,0.0,91
1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,akiyo_cif.y4m,32.45,32.484,0.084439,0.004722,0.0,147
1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,15.81,15.794,0.035777,0.004699,0.0,153
1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,akiyo_cif.y4m,21.99,21.978,0.062209,0.004143,0.0,46
1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,22.01,22.036,0.058566,0.003998,0.0,52
1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,35.84,35.866,0.079561,0.004574,0.0,184
1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.24,17.234,0.044497,0.004547,0.0,190
1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.29,17.27,0.057009,0.004547,0.0,191
1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,36.42,36.422,0.068337,0.004572,0.0,185
1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,akiyo_cif.y4m,30.83,30.856,0.075033,0.004837,0.0,1
1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,22.42,22.43,0.044721,0.004062,0.0,53
1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,akiyo_cif.y4m,23.32,23.366,0.07733,0.004529,0.0,47
1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,16.23,16.244,0.033615,0.004699,0.0,152
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,26.69,26.698,0.071204,0.004859,0.0,146
1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,47.11,47.08,0.102956,0.004163,0.0,90
1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,37.41,37.458,0.088713,0.004729,0.0,84
1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,akiyo_cif.y4m,51.28,51.278,0.080436,0.004494,0.0,224
1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,akiyo_cif.y4m,51.21,51.21,0.049497,0.004498,0.0,230
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,akiyo_cif.y4m,30.92,30.95,0.080312,0.004837,0.0,218
1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,51.13,51.124,0.129923,0.004494,0.0,226
1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,49.67,49.618,0.155788,0.004409,0.0,232
1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,akiyo_cif.y4m,50.96,50.956,0.168167,0.00441,0.0,92
1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,akiyo_cif.y4m,49.0,49.062,0.120291,0.003996,0.0,178
1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,akiyo_cif.y4m,38.09,38.092,0.08438,0.004697,0.0,86
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,35.2,35.236,0.076681,0.004189,0.0,150
1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,32.46,32.456,0.008944,0.004722,0.0,144
1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,50.53,50.5,0.083666,0.00443,0.0,51
1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,akiyo_cif.y4m,50.97,50.972,0.074632,0.004495,0.0,3
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,akiyo_cif.y4m,23.53,23.52,0.062048,0.004511,0.0,45
1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.1,17.096,0.036469,0.0042,0.0,193
1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.21,17.21,0.043012,0.004547,0.0,187
1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,37.54,37.536,0.045056,0.004729,0.0,79
1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,35.82,35.836,0.058992,0.004574,0.0,186
1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,akiyo_cif.y4m,37.46,37.478,0.079498,0.004729,0.0,78
1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,16.6,16.586,0.045607,0.0042,0.0,192
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,akiyo_cif.y4m,23.47,23.47,0.025495,0.004511,0.0,44
1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,23.76,23.77,0.033166,0.004369,0.0,50
1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,akiyo_cif.y4m,51.06,51.0,0.123895,0.004495,0.0,2
1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,32.13,32.14,0.089722,0.004712,0.0,145
1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,32.51,32.51,0.082462,0.004722,0.0,151
1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,akiyo_cif.y4m,50.64,50.64,0.057879,0.004392,0.0,179
1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,akiyo_cif.y4m,38.11,38.124,0.055946,0.004697,0.0,87
1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,akiyo_cif.y4m,46.48,46.484,0.101143,0.004184,0.0,93
1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,akiyo_cif.y4m,49.63,49.634,0.076354,0.004498,0.0,233
1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,51.31,51.326,0.051769,0.004494,0.0,227
1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,akiyo_cif.y4m,50.17,50.172,0.063403,0.004428,0.0,240
1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,51.03,51.02,0.071764,0.004537,0.0,254
1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,50.53,50.524,0.093434,0.00443,0.0,268
1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,50.46,50.46,0.025495,0.00443,0.0,283
1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,51.09,51.092,0.09985,0.004537,0.0,297
1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,31.45,31.476,0.08735,0.004722,0.0,136
1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,16.61,16.61,0.015811,0.0042,0.0,122
1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,16.92,16.896,0.047223,0.004579,0.0,37
1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,akiyo_cif.y4m,22.16,22.176,0.043932,0.004132,0.0,23
1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,akiyo_cif.y4m,23.38,23.374,0.043359,0.004529,0.0,22
1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.4,17.432,0.069785,0.004579,0.0,36
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,akiyo_cif.y4m,16.29,16.272,0.046583,0.004699,0.0,123
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,26.77,26.772,0.076616,0.004859,0.0,137
1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,50.53,50.54,0.09434,0.00443,0.0,296
1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,akiyo_cif.y4m,50.26,50.238,0.082885,0.004428,0.0,282
1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,akiyo_cif.y4m,50.49,50.504,0.12661,0.00443,0.0,269
1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,akiyo_cif.y4m,50.8,50.78,0.102225,0.004392,0.0,255
1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,akiyo_cif.y4m,49.53,49.548,0.163921,0.004537,0.0,241
1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,akiyo_cif.y4m,50.17,50.184,0.058138,0.004428,0.0,257
1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,akiyo_cif.y4m,51.19,51.186,0.131453,0.004537,0.0,243
1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,akiyo_cif.y4m,51.46,51.402,0.190578,0.004371,0.0,294
1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,akiyo_cif.y4m,50.31,50.254,0.151921,0.004428,0.0,280
1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,16.63,16.638,0.025884,0.004547,0.0,121
1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,akiyo_cif.y4m,25.27,25.262,0.052631,0.004944,0.0,135
1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,akiyo_cif.y4m,37.47,37.464,0.105736,0.004729,0.0,109
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,akiyo_cif.y4m,22.87,22.886,0.030496,0.004511,0.0,20
1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,akiyo_cif.y4m,17.22,17.218,0.047117,0.004547,0.0,34
