root,asm,wpp,rdoLevel,rdoBasic,rdoSplits,rdoChroma,rdoPrediction,rect,amp,bitdepth,8bit,10bit,me,meDia,meHex,meUmh,meStar,frameThreads,frameThreads_1,frameThreads_2,frameThreads_4,frameThreads_8,ref,ref_1,ref_3,ref_6,workload,median-time,mean-time,std-time,mean-compression-ratio,std-compression-ratio,id
1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,1.18,1.18,0.012247,0.00143,0.0,80
1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,11.66,11.66,0.033166,0.001083,0.0,94
1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,9.71,9.712,0.013038,0.001058,0.0,181
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,akiyo_cif.y4m,8.15,8.142,0.016432,0.00106,0.0,195
1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,akiyo_cif.y4m,2.02,2.024,0.005477,0.000991,0.0,43
1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,2.07,2.074,0.016733,0.000961,0.0,57
1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,akiyo_cif.y4m,1.4,1.406,0.027928,0.001412,0.0,5
1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,akiyo_cif.y4m,6.6,6.612,0.027749,0.001071,0.0,340
1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,26.24,26.25,0.047434,0.001053,0.0,354
1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,akiyo_cif.y4m,6.58,6.562,0.047117,0.001075,0.0,341
