root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers;tempBuffers;workMem;revision;performance;energy
1;0;0;0;1;0;256;2;4096;8.3.0;46365.800000;1488.200000
1;0;0;0;1;0;64;8;4096;8.3.0;46361.200000;1514.800000
1;0;0;0;1;0;128;8;4096;8.3.0;46352.200000;1534.400000
1;0;0;0;1;0;256;8;4096;8.3.0;46597.800000;1515.400000
1;0;0;0;1;0;64;32;4096;8.3.0;46264.200000;1496.400000
1;0;0;0;1;0;128;32;4096;8.3.0;46365.000000;1521.600000
1;0;0;0;1;0;256;32;4096;8.3.0;46898.400000;1542.200000
1;0;0;0;1;1;64;2;256;8.3.0;46471.200000;1523.600000
1;0;0;0;1;1;128;2;256;8.3.0;46335.600000;1488.000000
1;0;0;0;1;1;256;2;256;8.3.0;46438.200000;1496.400000
1;0;0;0;1;1;64;8;256;8.3.0;46340.200000;1513.600000
1;0;0;0;1;1;128;8;256;8.3.0;46472.400000;1515.000000
1;0;0;0;1;1;256;8;256;8.3.0;46222.800000;1488.600000
1;0;0;0;1;1;64;32;256;8.3.0;46427.200000;1524.200000
1;0;0;0;1;1;128;32;256;8.3.0;46408.200000;1517.200000
1;0;0;0;1;1;256;32;256;8.3.0;47443.600000;1562.600000
1;0;0;0;1;1;64;2;1024;8.3.0;46426.000000;1518.800000
1;0;0;0;1;1;128;2;1024;8.3.0;46407.800000;1512.200000
1;0;0;0;1;1;256;2;1024;8.3.0;46274.200000;1491.600000
1;0;0;0;1;1;64;8;1024;8.3.0;47331.000000;1569.200000
1;0;0;0;1;1;128;8;1024;8.3.0;46358.400000;1525.400000
1;0;0;0;1;1;256;8;1024;8.3.0;46307.600000;1517.800000
1;0;0;0;1;1;64;32;1024;8.3.0;46600.200000;1496.400000
1;0;0;0;1;1;128;32;1024;8.3.0;46258.400000;1485.000000
1;0;0;0;1;1;256;32;1024;8.3.0;46368.400000;1522.800000
1;0;0;0;1;1;64;2;4096;8.3.0;46482.000000;1521.800000
1;0;0;0;1;1;128;2;4096;8.3.0;46338.800000;1507.400000
1;0;0;0;1;1;256;2;4096;8.3.0;46327.400000;1496.200000
1;0;0;0;1;1;64;8;4096;8.3.0;46806.600000;1524.000000
1;0;0;0;1;1;128;8;4096;8.3.0;46615.800000;1503.400000
1;0;0;0;1;1;256;8;4096;8.3.0;46339.400000;1485.800000
1;0;0;0;1;1;64;32;4096;8.3.0;46546.800000;1494.200000
1;0;0;0;1;1;128;32;4096;8.3.0;46343.600000;1534.200000
1;0;0;0;1;1;256;32;4096;8.3.0;46507.400000;1529.400000
1;0;0;1;0;0;64;2;256;8.3.0;46097.400000;1470.000000
1;0;0;1;0;0;128;2;256;8.3.0;46293.400000;1491.000000
1;0;0;1;0;0;256;2;256;8.3.0;46199.600000;1540.800000
1;0;0;1;0;0;64;8;256;8.3.0;46528.800000;1513.400000
1;0;0;1;0;0;128;8;256;8.3.0;46140.000000;1495.400000
