root;multiAccept;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;tcpNoDelay;tcpNoPush;processCount;compressionLevel;performance;energy
1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;18.084800;558.200000
1;1;0;0;1;0;0;1;0;0;0;0;0;0;2;1;8.953200;330.400000
1;1;0;0;1;0;0;1;0;0;0;0;0;0;4;1;4.568000;229.000000
1;1;0;0;1;0;0;1;0;0;0;0;0;0;8;1;4.560800;185.600000
1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;18.508400;562.400000
1;1;0;0;1;0;0;1;0;0;0;0;0;1;2;1;9.047400;326.000000
1;1;0;0;1;0;0;1;0;0;0;0;0;1;4;1;4.656000;231.400000
1;1;0;0;1;0;0;1;0;0;0;0;0;1;8;1;4.553400;205.000000
1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;18.227000;564.600000
1;1;0;0;1;0;0;1;0;0;0;0;1;0;2;1;9.051800;341.200000
1;1;0;0;1;0;0;1;0;0;0;0;1;0;4;1;4.574000;237.800000
1;1;0;0;1;0;0;1;0;0;0;0;1;0;8;1;4.600000;241.600000
1;1;0;0;1;0;0;1;0;0;0;0;1;1;1;1;18.072600;564.000000
1;1;0;0;1;0;0;1;0;0;0;0;1;1;2;1;8.930800;331.000000
1;1;0;0;1;0;0;1;0;0;0;0;1;1;4;1;4.600800;226.200000
1;1;0;0;1;0;0;1;0;0;0;0;1;1;8;1;4.540800;171.000000
1;1;0;0;1;1;0;1;0;0;0;0;0;0;1;1;17.973400;578.800000
1;1;0;0;1;1;0;1;0;0;0;0;0;0;2;1;9.385200;339.200000
1;1;0;0;1;1;0;1;0;0;0;0;0;0;4;1;4.506800;228.600000
1;1;0;0;1;1;0;1;0;0;0;0;0;0;8;1;4.549800;219.400000
1;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1;17.050800;554.800000
1;1;0;0;1;1;0;1;0;0;0;0;0;1;2;1;8.835400;331.400000
1;1;0;0;1;1;0;1;0;0;0;0;0;1;4;1;4.558800;227.000000
1;1;0;0;1;1;0;1;0;0;0;0;0;1;8;1;4.500400;196.800000
1;1;0;0;1;1;0;1;0;0;0;0;1;0;1;1;17.842000;559.600000
1;1;0;0;1;1;0;1;0;0;0;0;1;0;2;1;8.733800;312.400000
1;1;0;0;1;1;0;1;0;0;0;0;1;0;4;1;4.598600;233.600000
1;1;0;0;1;1;0;1;0;0;0;0;1;0;8;1;4.491000;227.400000
1;1;0;0;1;1;0;1;0;0;0;0;1;1;1;1;18.474800;571.600000
1;1;0;0;1;1;0;1;0;0;0;0;1;1;2;1;8.909000;322.600000
1;1;0;0;1;1;0;1;0;0;0;0;1;1;4;1;4.533200;179.800000
1;1;0;0;1;1;0;1;0;0;0;0;1;1;8;1;4.512600;211.600000
1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;17.908200;583.000000
1;1;1;0;1;0;0;1;0;0;0;0;0;0;2;1;9.215200;344.400000
1;1;1;0;1;0;0;1;0;0;0;0;0;0;4;1;4.713000;227.000000
1;1;1;0;1;0;0;1;0;0;0;0;0;0;8;1;4.656400;211.600000
1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;1;18.862200;570.800000
1;1;1;0;1;0;0;1;0;0;0;0;0;1;2;1;9.053000;333.200000
1;1;1;0;1;0;0;1;0;0;0;0;0;1;4;1;4.613600;192.200000
1;1;1;0;1;0;0;1;0;0;0;0;0;1;8;1;4.574800;207.800000
